Bulgaria, Life tables (period 5x10), Total	Last modified: 15 Sep 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1947-1949        0      0.13427  0.12283  0.31  100000   12283   91474  5599682  56.00
1947-1949      1-4      0.01235  0.04776  1.26   87717    4190  339377  5508208  62.79
1947-1949      5-9      0.00250  0.01244  2.21   83528    1039  414742  5168831  61.88
1947-1949     10-14     0.00185  0.00920  2.58   82489     759  410611  4754089  57.63
1947-1949     15-19     0.00335  0.01662  2.78   81730    1358  405633  4343479  53.14
1947-1949     20-24     0.00474  0.02341  2.44   80372    1881  397038  3937845  49.00
1947-1949     25-29     0.00409  0.02024  2.41   78491    1588  388344  3540807  45.11
1947-1949     30-34     0.00387  0.01917  2.45   76902    1474  380760  3152463  40.99
1947-1949     35-39     0.00415  0.02052  2.51   75428    1548  373285  2771703  36.75
1947-1949     40-44     0.00495  0.02444  2.53   73880    1806  364945  2398418  32.46
1947-1949     45-49     0.00655  0.03222  2.59   72075    2322  354769  2033473  28.21
1947-1949     50-54     0.00990  0.04836  2.60   69752    3374  340682  1678704  24.07
1947-1949     55-59     0.01430  0.06911  2.59   66379    4587  320854  1338023  20.16
1947-1949     60-64     0.02307  0.10919  2.56   61792    6747  292488  1017169  16.46
1947-1949     65-69     0.03436  0.15888  2.63   55045    8746  254501   724680  13.17
1947-1949     70-74     0.05959  0.25997  2.55   46299   12036  201967   470180  10.16
1947-1949     75-79     0.09382  0.37869  2.45   34263   12975  138291   268212   7.83
1947-1949     80-84     0.13790  0.50272  2.31   21288   10702   77608   129922   6.10
1947-1949     85-89     0.18050  0.59729  2.17   10586    6323   35030    52313   4.94
1947-1949     90-94     0.22773  0.68094  2.05    4263    2903   12747    17283   4.05
1947-1949     95-99     0.28545  0.77094  2.02    1360    1049    3674     4536   3.34
1947-1949    100-104    0.35067  0.83828  1.89     312     261     745      863   2.77
1947-1949    105-109    0.42196  0.88989  1.75      50      45     106      118   2.34
1947-1949    110+       0.48012  1.00000  2.08       6       6      12       12   2.08
1950-1959        0      0.08413  0.07949  0.31  100000    7949   94482  6405727  64.06
1950-1959      1-4      0.00621  0.02441  1.20   92051    2247  361906  6311245  68.56
1950-1959      5-9      0.00108  0.00539  2.26   89804     484  447696  5949339  66.25
1950-1959     10-14     0.00089  0.00446  2.57   89320     398  445634  5501644  61.59
1950-1959     15-19     0.00156  0.00778  2.74   88922     692  443044  5056009  56.86
1950-1959     20-24     0.00215  0.01069  2.49   88230     943  438783  4612965  52.28
1950-1959     25-29     0.00213  0.01057  2.46   87287     923  434095  4174182  47.82
1950-1959     30-34     0.00210  0.01045  2.51   86364     902  429577  3740088  43.31
1950-1959     35-39     0.00253  0.01260  2.59   85462    1077  424709  3310511  38.74
1950-1959     40-44     0.00340  0.01688  2.57   84385    1425  418459  2885802  34.20
1950-1959     45-49     0.00480  0.02372  2.64   82961    1968  410151  2467342  29.74
1950-1959     50-54     0.00743  0.03651  2.65   80992    2957  398018  2057191  25.40
1950-1959     55-59     0.01171  0.05696  2.64   78035    4445  379697  1659174  21.26
1950-1959     60-64     0.01948  0.09311  2.64   73590    6852  351810  1279476  17.39
1950-1959     65-69     0.03146  0.14629  2.61   66739    9763  310353   927666  13.90
1950-1959     70-74     0.05166  0.22952  2.57   56976   13077  253150   617313  10.83
1950-1959     75-79     0.08350  0.34611  2.53   43899   15194  181955   364163   8.30
1950-1959     80-84     0.12770  0.47793  2.37   28705   13719  107431   182208   6.35
1950-1959     85-89     0.17697  0.59307  2.22   14986    8888   50223    74777   4.99
1950-1959     90-94     0.22899  0.68393  2.06    6098    4171   18214    24554   4.03
1950-1959     95-99     0.28881  0.77588  2.02    1927    1495    5178     6340   3.29
1950-1959    100-104    0.36118  0.84796  1.87     432     366    1014     1162   2.69
1950-1959    105-109    0.44016  0.90090  1.72      66      59     134      147   2.24
1950-1959    110+       0.50477  1.00000  1.98       7       7      13       13   1.98
1960-1969        0      0.03516  0.03415  0.16  100000    3415   97133  7046744  70.47
1960-1969      1-4      0.00180  0.00717  1.38   96585     692  384523  6949610  71.95
1960-1969      5-9      0.00060  0.00298  2.31   95892     285  478692  6565088  68.46
