New Zealand, Life tables (period 5x1), Total	Last modified: 06 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1948           0      0.02817  0.02750  0.14  100000    2750   97624  6881474  68.81
  1948         1-4      0.00231  0.00918  1.48   97250     893  386754  6783850  69.76
  1948         5-9      0.00085  0.00424  2.01   96358     409  480566  6397095  66.39
  1948        10-14     0.00101  0.00505  2.60   95949     484  478582  5916529  61.66
  1948        15-19     0.00146  0.00728  2.71   95464     695  475733  5437947  56.96
  1948        20-24     0.00190  0.00946  2.43   94769     897  471547  4962213  52.36
  1948        25-29     0.00183  0.00912  2.44   93873     856  467173  4490667  47.84
  1948        30-34     0.00181  0.00903  2.55   93017     840  463029  4023493  43.26
  1948        35-39     0.00235  0.01167  2.58   92177    1076  458282  3560464  38.63
  1948        40-44     0.00324  0.01606  2.68   91101    1463  452112  3102182  34.05
  1948        45-49     0.00521  0.02573  2.74   89638    2307  442981  2650070  29.56
  1948        50-54     0.00793  0.03893  2.70   87331    3400  428822  2207089  25.27
  1948        55-59     0.01263  0.06135  2.68   83931    5149  407729  1778267  21.19
  1948        60-64     0.02050  0.09797  2.74   78783    7718  376441  1370537  17.40
  1948        65-69     0.03152  0.14636  2.57   71065   10401  330023   994096  13.99
  1948        70-74     0.04932  0.22129  2.68   60663   13424  272179   664073  10.95
  1948        75-79     0.08322  0.34585  2.56   47239   16338  196309   391894   8.30
  1948        80-84     0.12158  0.46277  2.42   30901   14300  117619   195585   6.33
  1948        85-89     0.18558  0.61515  2.26   16601   10212   55030    77966   4.70
  1948        90-94     0.25740  0.73833  2.11    6389    4717   18326    22936   3.59
  1948        95-99     0.34889  0.84037  1.92    1672    1405    4027     4610   2.76
  1948       100-104    0.44986  0.90797  1.72     267     242     539      583   2.18
  1948       105-109    0.55237  0.94761  1.53      25      23      42       44   1.80
  1948       110+       0.63300  1.00000  1.58       1       1       2        2   1.58
  1949           0      0.03066  0.02988  0.14  100000    2988   97445  6894680  68.95
  1949         1-4      0.00241  0.00958  1.46   97012     929  385688  6797235  70.07
  1949         5-9      0.00076  0.00378  2.16   96083     363  479383  6411546  66.73
  1949        10-14     0.00077  0.00384  2.58   95720     368  477709  5932164  61.97
  1949        15-19     0.00141  0.00703  2.81   95352     670  475297  5454455  57.20
  1949        20-24     0.00158  0.00789  2.66   94682     747  471666  4979158  52.59
  1949        25-29     0.00152  0.00759  2.45   93936     713  467862  4507492  47.98
  1949        30-34     0.00181  0.00900  2.59   93223     839  464093  4039630  43.33
  1949        35-39     0.00246  0.01223  2.57   92384    1129  459175  3575537  38.70
  1949        40-44     0.00304  0.01510  2.52   91255    1378  452862  3116361  34.15
  1949        45-49     0.00528  0.02609  2.64   89876    2345  443841  2663499  29.64
  1949        50-54     0.00854  0.04188  2.68   87531    3666  429143  2219658  25.36
  1949        55-59     0.01225  0.05959  2.72   83865    4997  407948  1790515  21.35
  1949        60-64     0.01946  0.09296  2.61   78868    7332  376843  1382567  17.53
  1949        65-69     0.03078  0.14308  2.55   71536   10235  332553  1005725  14.06
  1949        70-74     0.05131  0.22905  2.66   61301   14041  273664   673171  10.98
  1949        75-79     0.08119  0.33980  2.60   47260   16059  197805   399508   8.45
  1949        80-84     0.11508  0.44824  2.54   31201   13985  121533   201703   6.46
  1949        85-89     0.18448  0.61330  2.27   17216   10558   57232    80170   4.66
  1949        90-94     0.26769  0.75454  2.11    6657    5023   18765    22938   3.45
  1949        95-99     0.37805  0.86614  1.87    1634    1415    3744     4173   2.55
  1949       100-104    0.50271  0.93305  1.63     219     204     406      429   1.96
  1949       105-109    0.62798  0.96672  1.42      15      14      23       23   1.59
  1949       110+       0.72443  1.00000  1.38       0       0       1        1   1.38
  1950           0      0.02843  0.02775  0.14  100000    2775   97605  6925188  69.25
  1950         1-4      0.00178  0.00708  1.42   97225     688  387125  6827583  70.22
  1950         5-9      0.00074  0.00368  2.46   96536     355  481782  6440459  66.72
  1950        10-14     0.00066  0.00330  2.70   96182     317  480178  5958677  61.95
  1950        15-19     0.00134  0.00669  2.80   95864     641  477911  5478499  57.15
  1950        20-24     0.00156  0.00775  2.55   95223     738  474305  5000588  52.51
  1950        25-29     0.00137  0.00685  2.47   94485     647  470790  4526283  47.90
  1950        30-34     0.00169  0.00840  2.71   93838     788  467388  4055493  43.22
  1950        35-39     0.00243  0.01207  2.61   93050    1123  462562  3588105  38.56
  1950        40-44     0.00300  0.01490  2.66   91926    1369  456426  3125543  34.00
  1950        45-49     0.00521  0.02576  2.72   90557    2333  447464  2669117  29.47
  1950        50-54     0.00787  0.03866  2.66   88224    3411  433154  2221653  25.18
  1950        55-59     0.01302  0.06318  2.66   84813    5359  411530  1788499  21.09
  1950        60-64     0.01974  0.09431  2.63   79454    7494  379540  1376970  17.33
  1950        65-69     0.03209  0.14876  2.56   71961   10705  333636   997430  13.86
  1950        70-74     0.05015  0.22442  2.66   61256   13747  274096   663794  10.84
  1950        75-79     0.08326  0.34685  2.59   47509   16478  197912   389698   8.20
  1950        80-84     0.12093  0.46211  2.45   31030   14339  118576   191786   6.18
  1950        85-89     0.19934  0.64341  2.25   16691   10739   53874    73210   4.39
  1950        90-94     0.28666  0.77910  2.07    5952    4637   16176    19336   3.25
  1950        95-99     0.40398  0.88447  1.82    1315    1163    2879     3160   2.40
  1950       100-104    0.53418  0.94412  1.58     152     143     268      281   1.85
  1950       105-109    0.66145  0.97256  1.37       8       8      12       13   1.51
  1950       110+       0.75699  1.00000  1.32       0       0       0        0   1.32
  1951           0      0.02823  0.02756  0.14  100000    2756   97619  6912804  69.13
  1951         1-4      0.00173  0.00690  1.40   97244     671  387234  6815185  70.08
  1951         5-9      0.00071  0.00353  2.24   96573     341  481924  6427950  66.56
