Australia, Life tables (period 5x5), Total	Last modified: 22 Mar 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1921-1924        0      0.06135  0.05866  0.25  100000    5866   95621  6199192  61.99
1921-1924      1-4      0.00548  0.02161  1.36   94134    2034  371164  6103572  64.84
1921-1924      5-9      0.00169  0.00841  2.28   92099     774  458394  5732408  62.24
1921-1924     10-14     0.00136  0.00677  2.60   91325     619  455138  5274014  57.75
1921-1924     15-19     0.00207  0.01028  2.73   90706     933  451418  4818875  53.13
1921-1924     20-24     0.00294  0.01460  2.59   89774    1310  445715  4367457  48.65
1921-1924     25-29     0.00347  0.01719  2.57   88464    1521  438619  3921742  44.33
1921-1924     30-34     0.00396  0.01960  2.58   86943    1704  430597  3483123  40.06
1921-1924     35-39     0.00505  0.02495  2.59   85239    2127  421068  3052526  35.81
1921-1924     40-44     0.00610  0.03003  2.54   83112    2496  409423  2631458  31.66
1921-1924     45-49     0.00828  0.04060  2.55   80616    3273  395051  2222035  27.56
1921-1924     50-54     0.01126  0.05480  2.60   77343    4239  376543  1826984  23.62
1921-1924     55-59     0.01582  0.07620  2.61   73105    5571  352199  1450441  19.84
1921-1924     60-64     0.02435  0.11507  2.61   67534    7771  319104  1098243  16.26
1921-1924     65-69     0.03681  0.16880  2.55   59763   10088  274056   779139  13.04
1921-1924     70-74     0.05709  0.25086  2.59   49675   12461  218286   505083  10.17
1921-1924     75-79     0.09313  0.37700  2.47   37214   14030  150637   286798   7.71
1921-1924     80-84     0.13401  0.49773  2.42   23184   11539   86111   136161   5.87
1921-1924     85-89     0.21111  0.66131  2.18   11645    7701   36477    50050   4.30
1921-1924     90-94     0.26692  0.74264  2.01    3944    2929   10973    13573   3.44
1921-1924     95-99     0.37794  0.86435  1.86    1015     877    2321     2600   2.56
1921-1924    100-104    0.48717  0.92571  1.65     138     127     262      279   2.02
1921-1924    105-109    0.59762  0.95975  1.46      10      10      16       17   1.66
1921-1924    110+       0.68396  1.00000  1.46       0       0       1        1   1.46
1925-1929        0      0.05526  0.05301  0.23  100000    5301   95928  6297634  62.98
1925-1929      1-4      0.00485  0.01917  1.37   94699    1815  374025  6201706  65.49
1925-1929      5-9      0.00152  0.00759  2.27   92884     705  462491  5827681  62.74
1925-1929     10-14     0.00121  0.00603  2.57   92179     556  459546  5365190  58.20
1925-1929     15-19     0.00192  0.00954  2.74   91623     874  456138  4905644  53.54
1925-1929     20-24     0.00281  0.01394  2.61   90749    1265  450725  4449506  49.03
1925-1929     25-29     0.00326  0.01615  2.54   89484    1445  443860  3998781  44.69
1925-1929     30-34     0.00368  0.01822  2.56   88039    1604  436275  3554921  40.38
1925-1929     35-39     0.00466  0.02306  2.58   86435    1993  427360  3118647  36.08
1925-1929     40-44     0.00580  0.02859  2.59   84442    2414  416395  2691286  31.87
1925-1929     45-49     0.00801  0.03929  2.61   82028    3223  402436  2274891  27.73
1925-1929     50-54     0.01103  0.05371  2.60   78805    4232  383873  1872456  23.76
1925-1929     55-59     0.01543  0.07442  2.64   74573    5550  359782  1488583  19.96
1925-1929     60-64     0.02341  0.11094  2.65   69023    7658  327099  1128801  16.35
1925-1929     65-69     0.03631  0.16669  2.55   61365   10229  281745   801702  13.06
1925-1929     70-74     0.05681  0.25009  2.61   51136   12789  225095   519957  10.17
1925-1929     75-79     0.09267  0.37507  2.46   38347   14383  155206   294862   7.69
1925-1929     80-84     0.13566  0.50308  2.43   23965   12056   88872   139656   5.83
1925-1929     85-89     0.21102  0.66199  2.19   11908    7883   37358    50784   4.26
1925-1929     90-94     0.27703  0.76307  2.06    4025    3071   11087    13426   3.34
1925-1929     95-99     0.39597  0.87783  1.83     954     837    2114     2339   2.45
1925-1929    100-104    0.51275  0.93602  1.61     117     109     213      225   1.93
1925-1929    105-109    0.62846  0.96639  1.42       7       7      11       12   1.58
1925-1929    110+       0.71719  1.00000  1.39       0       0       0        0   1.39
1930-1934        0      0.04379  0.04230  0.19  100000    4230   96579  6519365  65.19
1930-1934      1-4      0.00402  0.01591  1.44   95770    1524  379186  6422786  67.06
1930-1934      5-9      0.00137  0.00681  2.27   94247     642  469483  6043600  64.13
1930-1934     10-14     0.00106  0.00530  2.57   93605     497  466818  5574117  59.55
1930-1934     15-19     0.00160  0.00798  2.74   93108     743  463862  5107299  54.85
1930-1934     20-24     0.00230  0.01146  2.58   92366    1058  459265  4643438  50.27
1930-1934     25-29     0.00269  0.01334  2.54   91308    1218  453544  4184173  45.83
1930-1934     30-34     0.00306  0.01518  2.56   90089    1368  447112  3730629  41.41
1930-1934     35-39     0.00385  0.01909  2.60   88722    1694  439547  3283517  37.01
1930-1934     40-44     0.00486  0.02404  2.60   87028    2092  430115  2843970  32.68
1930-1934     45-49     0.00694  0.03414  2.63   84935    2900  417806  2413855  28.42
1930-1934     50-54     0.01001  0.04891  2.67   82035    4013  400831  1996049  24.33
1930-1934     55-59     0.01442  0.06972  2.62   78023    5440  377192  1595217  20.45
1930-1934     60-64     0.02186  0.10393  2.64   72583    7543  345137  1218025  16.78
1930-1934     65-69     0.03451  0.15930  2.59   65040   10361  300253   872888  13.42
1930-1934     70-74     0.05420  0.23991  2.61   54679   13118  242043   572635  10.47
1930-1934     75-79     0.08848  0.36197  2.49   41561   15044  170029   330592   7.95
1930-1934     80-84     0.12865  0.48519  2.47   26517   12866  100010   160564   6.06
1930-1934     85-89     0.19956  0.64316  2.24   13651    8780   43996    60554   4.44
1930-1934     90-94     0.27003  0.75343  2.07    4871    3670   13592    16558   3.40
1930-1934     95-99     0.39267  0.87616  1.84    1201    1052    2680     2966   2.47
1930-1934    100-104    0.51431  0.93690  1.61     149     139     271      286   1.92
1930-1934    105-109    0.63372  0.96748  1.41       9       9      14       15   1.57
1930-1934    110+       0.72367  1.00000  1.38       0       0       0        0   1.38
1935-1939        0      0.04068  0.03937  0.18  100000    3937   96773  6549810  65.50
1935-1939      1-4      0.00350  0.01389  1.50   96063    1334  380918  6453038  67.17
1935-1939      5-9      0.00134  0.00668  2.22   94729     633  471888  6072120  64.10
1935-1939     10-14     0.00103  0.00515  2.61   94096     485  469322  5600232  59.52
1935-1939     15-19     0.00158  0.00787  2.73   93611     737  466387  5130910  54.81
1935-1939     20-24     0.00217  0.01079  2.57   92875    1002  461938  4664523  50.22
1935-1939     25-29     0.00250  0.01245  2.56   91873    1143  456580  4202585  45.74
1935-1939     30-34     0.00278  0.01383  2.60   90729    1255  450631  3746005  41.29
1935-1939     35-39     0.00375  0.01857  2.60   89475    1661  443392  3295374  36.83
1935-1939     40-44     0.00473  0.02338  2.60   87813    2053  434146  2851982  32.48
1935-1939     45-49     0.00688  0.03385  2.64   85761    2903  421953  2417836  28.19
1935-1939     50-54     0.01008  0.04924  2.65   82857    4080  404680  1995883  24.09
1935-1939     55-59     0.01484  0.07170  2.66   78777    5648  380693  1591203  20.20
1935-1939     60-64     0.02267  0.10765  2.67   73129    7872  347270  1210510  16.55
1935-1939     65-69     0.03542  0.16314  2.59   65257   10646  300590   863240  13.23
1935-1939     70-74     0.05531  0.24431  2.62   54611   13342  241239   562650  10.30
1935-1939     75-79     0.09040  0.36840  2.49   41269   15203  168175   321411   7.79
1935-1939     80-84     0.13360  0.49880  2.46   26065   13001   97317   153236   5.88
1935-1939     85-89     0.20910  0.66110  2.22   13064    8637   41304    55919   4.28
1935-1939     90-94     0.27867  0.76670  2.07    4427    3395   12181    14615   3.30
1935-1939     95-99     0.41313  0.88983  1.80    1033     919    2225     2433   2.36
1935-1939    100-104    0.53989  0.94561  1.56     114     108     199      209   1.83
1935-1939    105-109    0.66252  0.97254  1.37       6       6       9        9   1.50
1935-1939    110+       0.75396  1.00000  1.33       0       0       0        0   1.33
1940-1944        0      0.03881  0.03760  0.17  100000    3760   96893  6646550  66.47
1940-1944      1-4      0.00304  0.01205  1.48   96240    1160  382042  6549657  68.06
1940-1944      5-9      0.00120  0.00598  2.25   95080     569  473837  6167615  64.87
1940-1944     10-14     0.00095  0.00472  2.51   94511     446  471446  5693778  60.24
1940-1944     15-19     0.00128  0.00637  2.61   94065     599  468893  5222332  55.52
1940-1944     20-24     0.00158  0.00789  2.61   93466     738  465566  4753439  50.86
1940-1944     25-29     0.00184  0.00915  2.58   92728     848  461591  4287872  46.24
1940-1944     30-34     0.00220  0.01095  2.59   91880    1006  456972  3826282  41.64
1940-1944     35-39     0.00298  0.01480  2.62   90874    1345  451174  3369310  37.08
1940-1944     40-44     0.00416  0.02061  2.66   89529    1845  443326  2918135  32.59
1940-1944     45-49     0.00639  0.03148  2.69   87684    2760  432033  2474810  28.22
1940-1944     50-54     0.00973  0.04758  2.68   84923    4041  415248  2042777  24.05
