Lithuania, Life tables (period 5x5), Total	Last modified: 29 Jan 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1960-1964        0      0.03550  0.03447  0.16  100000    3447   97111  7051035  70.51
1960-1964      1-4      0.00153  0.00610  1.48   96553     589  384727  6953924  72.02
1960-1964      5-9      0.00068  0.00340  2.28   95963     327  478930  6569197  68.46
1960-1964     10-14     0.00059  0.00295  2.37   95637     282  477443  6090267  63.68
1960-1964     15-19     0.00105  0.00525  2.82   95355     501  475679  5612824  58.86
1960-1964     20-24     0.00153  0.00760  2.55   94854     721  472503  5137144  54.16
1960-1964     25-29     0.00182  0.00908  2.51   94133     855  468535  4664641  49.55
1960-1964     30-34     0.00222  0.01104  2.57   93278    1030  463889  4196106  44.98
1960-1964     35-39     0.00267  0.01325  2.55   92248    1222  458249  3732216  40.46
1960-1964     40-44     0.00352  0.01744  2.50   91026    1588  451164  3273967  35.97
1960-1964     45-49     0.00464  0.02293  2.57   89439    2051  442206  2822803  31.56
1960-1964     50-54     0.00712  0.03498  2.58   87387    3057  429543  2380597  27.24
1960-1964     55-59     0.01037  0.05062  2.62   84330    4269  411503  1951054  23.14
1960-1964     60-64     0.01712  0.08226  2.62   80061    6586  384605  1539551  19.23
1960-1964     65-69     0.02454  0.11566  2.52   73475    8498  346299  1154946  15.72
1960-1964     70-74     0.03946  0.18008  2.58   64977   11701  296521   808647  12.45
1960-1964     75-79     0.06376  0.27510  2.51   53276   14656  229850   512126   9.61
1960-1964     80-84     0.10243  0.40547  2.43   38620   15659  152879   282276   7.31
1960-1964     85-89     0.15193  0.53952  2.31   22960   12388   81536   129397   5.64
1960-1964     90-94     0.19378  0.62101  2.11   10573    6566   33883    47861   4.53
1960-1964     95-99     0.26833  0.75147  2.07    4007    3011   11222    13978   3.49
1960-1964    100-104    0.34879  0.83884  1.91     996     835    2395     2756   2.77
1960-1964    105-109    0.43874  0.90129  1.73     160     145     330      361   2.25
1960-1964    110+       0.51340  1.00000  1.95      16      16      31       31   1.95
1965-1969        0      0.02217  0.02174  0.11  100000    2174   98075  7166663  71.67
1965-1969      1-4      0.00136  0.00541  1.57   97826     529  390019  7068588  72.26
1965-1969      5-9      0.00054  0.00272  2.46   97297     264  485812  6678569  68.64
1965-1969     10-14     0.00046  0.00231  2.54   97032     224  484612  6192756  63.82
1965-1969     15-19     0.00095  0.00472  2.80   96808     457  483035  5708145  58.96
1965-1969     20-24     0.00137  0.00683  2.74   96351     658  480267  5225109  54.23
1965-1969     25-29     0.00185  0.00923  2.52   95693     883  476273  4744842  49.58
1965-1969     30-34     0.00213  0.01058  2.56   94810    1003  471601  4268570  45.02
1965-1969     35-39     0.00271  0.01344  2.53   93806    1261  465912  3796969  40.48
1965-1969     40-44     0.00349  0.01730  2.58   92545    1601  458858  3331057  35.99
1965-1969     45-49     0.00505  0.02493  2.63   90944    2267  449345  2872199  31.58
1965-1969     50-54     0.00692  0.03406  2.61   88677    3020  436180  2422854  27.32
1965-1969     55-59     0.01001  0.04892  2.67   85657    4191  418501  1986674  23.19
1965-1969     60-64     0.01666  0.08012  2.61   81466    6527  391732  1568173  19.25
1965-1969     65-69     0.02564  0.12077  2.61   74939    9050  353033  1176441  15.70
1965-1969     70-74     0.04107  0.18679  2.58   65888   12307  299626   823408  12.50
1965-1969     75-79     0.06334  0.27420  2.55   53581   14692  231954   523782   9.78
1965-1969     80-84     0.09669  0.38787  2.45   38889   15084  155995   291828   7.50
1965-1969     85-89     0.14664  0.52764  2.34   23805   12561   85658   135833   5.71
1965-1969     90-94     0.19780  0.63549  2.19   11245    7146   36127    50175   4.46
1965-1969     95-99     0.27290  0.75823  2.07    4099    3108   11388    14049   3.43
1965-1969    100-104    0.35992  0.84903  1.89     991     841    2338     2660   2.68
1965-1969    105-109    0.45743  0.91154  1.70     150     136     298      323   2.16
1965-1969    110+       0.53888  1.00000  1.86      13      13      25       25   1.86
1970-1974        0      0.01799  0.01770  0.11  100000    1770   98428  7152683  71.53
1970-1974      1-4      0.00120  0.00477  1.53   98230     469  391763  7054254  71.81
1970-1974      5-9      0.00053  0.00267  2.28   97761     261  488096  6662491  68.15
1970-1974     10-14     0.00042  0.00211  2.62   97500     206  487011  6174395  63.33
1970-1974     15-19     0.00098  0.00491  2.91   97294     478  485472  5687384  58.46
1970-1974     20-24     0.00186  0.00924  2.68   96817     894  482010  5201912  53.73
1970-1974     25-29     0.00215  0.01068  2.54   95923    1024  477092  4719902  49.21
1970-1974     30-34     0.00245  0.01216  2.56   94899    1154  471676  4242809  44.71
1970-1974     35-39     0.00305  0.01516  2.59   93744    1421  465304  3771133  40.23
1970-1974     40-44     0.00396  0.01963  2.62   92323    1813  457295  3305829  35.81
1970-1974     45-49     0.00553  0.02729  2.62   90511    2470  446677  2848535  31.47
1970-1974     50-54     0.00755  0.03707  2.64   88041    3263  432504  2401857  27.28
1970-1974     55-59     0.01052  0.05131  2.61   84777    4350  413479  1969353  23.23
1970-1974     60-64     0.01586  0.07643  2.64   80427    6147  387637  1555875  19.35
1970-1974     65-69     0.02516  0.11870  2.63   74280    8817  350473  1168238  15.73
1970-1974     70-74     0.04058  0.18493  2.60   65463   12106  298304   817764  12.49
1970-1974     75-79     0.06590  0.28348  2.54   53357   15126  229540   519460   9.74
1970-1974     80-84     0.09655  0.38803  2.47   38231   14835  153648   289920   7.58
1970-1974     85-89     0.14206  0.51554  2.34   23396   12062   84905   136272   5.82
1970-1974     90-94     0.19342  0.62770  2.20   11335    7115   36785    51367   4.53
1970-1974     95-99     0.27005  0.75473  2.08    4220    3185   11794    14582   3.46
1970-1974    100-104    0.35836  0.84793  1.89    1035     878    2449     2789   2.69
1970-1974    105-109    0.45703  0.91139  1.70     157     143     314      340   2.16
1970-1974    110+       0.53854  1.00000  1.86      14      14      26       26   1.86
1975-1979        0      0.01833  0.01803  0.11  100000    1803   98398  7099203  70.99
1975-1979      1-4      0.00119  0.00476  1.55   98197     467  391642  7000805  71.29
1975-1979      5-9      0.00056  0.00280  2.35   97729     274  487922  6609164  67.63
1975-1979     10-14     0.00043  0.00212  2.52   97455     207  486764  6121242  62.81
1975-1979     15-19     0.00104  0.00520  2.93   97248     506  485197  5634478  57.94
1975-1979     20-24     0.00170  0.00844  2.67   96743     817  481812  5149282  53.23
1975-1979     25-29     0.00218  0.01083  2.55   95926    1038  477082  4667469  48.66
1975-1979     30-34     0.00268  0.01332  2.61   94887    1264  471410  4190388  44.16
1975-1979     35-39     0.00344  0.01705  2.53   93623    1597  464172  3718978  39.72
1975-1979     40-44     0.00449  0.02219  2.62   92027    2042  455275  3254805  35.37
1975-1979     45-49     0.00618  0.03047  2.61   89985    2742  443362  2799531  31.11
1975-1979     50-54     0.00830  0.04066  2.59   87243    3547  427660  2356169  27.01
1975-1979     55-59     0.01160  0.05645  2.61   83695    4725  407194  1928509  23.04
1975-1979     60-64     0.01644  0.07911  2.64   78970    6247  380107  1521315  19.26
1975-1979     65-69     0.02480  0.11721  2.66   72723    8524  343652  1141209  15.69
1975-1979     70-74     0.04011  0.18292  2.60   64200   11743  292774   797556  12.42
1975-1979     75-79     0.06527  0.28176  2.58   52456   14780  226460   504782   9.62
1975-1979     80-84     0.10206  0.40401  2.42   37676   15221  149141   278322   7.39
1975-1979     85-89     0.14798  0.53119  2.34   22455   11928   80604   129181   5.75
1975-1979     90-94     0.19046  0.62044  2.19   10527    6531   34293    48577   4.61
1975-1979     95-99     0.26077  0.74115  2.09    3996    2961   11356    14285   3.58
1975-1979    100-104    0.33996  0.83101  1.92    1034     859    2528     2928   2.83
1975-1979    105-109    0.42999  0.89658  1.75     175     157     364      400   2.29
1975-1979    110+       0.50543  1.00000  1.98      18      18      36       36   1.98
1980-1984        0      0.01489  0.01469  0.12  100000    1469   98705  7080019  70.80
1980-1984      1-4      0.00113  0.00450  1.53   98531     444  393028  6981314  70.85
1980-1984      5-9      0.00055  0.00274  2.43   98087     269  489744  6588286  67.17
1980-1984     10-14     0.00044  0.00220  2.57   97818     215  488568  6098542  62.35
1980-1984     15-19     0.00111  0.00551  2.90   97603     538  486885  5609974  57.48
1980-1984     20-24     0.00164  0.00819  2.68   97065     795  483477  5123089  52.78
1980-1984     25-29     0.00212  0.01056  2.64   96270    1016  478952  4639612  48.19
1980-1984     30-34     0.00277  0.01377  2.60   95254    1312  473118  4160660  43.68
1980-1984     35-39     0.00382  0.01892  2.59   93942    1778  465425  3687542  39.25
1980-1984     40-44     0.00506  0.02498  2.55   92164    2302  455189  3222117  34.96
1980-1984     45-49     0.00674  0.03317  2.63   89862    2981  442254  2766928  30.79
1980-1984     50-54     0.00931  0.04551  2.56   86881    3954  424760  2324674  26.76
1980-1984     55-59     0.01224  0.05945  2.60   82928    4930  402808  1899914  22.91
1980-1984     60-64     0.01755  0.08419  2.59   77997    6567  374147  1497106  19.19
1980-1984     65-69     0.02487  0.11739  2.62   71431    8385  337159  1122959  15.72
1980-1984     70-74     0.03922  0.17939  2.62   63045   11310  288340   785800  12.46
1980-1984     75-79     0.06369  0.27560  2.56   51735   14258  223870   497460   9.62
1980-1984     80-84     0.10284  0.40817  2.47   37477   15297  148753   273590   7.30
1980-1984     85-89     0.15051  0.53716  2.34   22180   11914   79158   124837   5.63
1980-1984     90-94     0.19950  0.63916  2.19   10266    6562   32891    45679   4.45
1980-1984     95-99     0.27108  0.75542  2.07    3704    2798   10323    12788   3.45
1980-1984    100-104    0.35484  0.84448  1.90     906     765    2156     2465   2.72
1980-1984    105-109    0.44946  0.90738  1.71     141     128     284      309   2.19
1980-1984    110+       0.52884  1.00000  1.89      13      13      25       25   1.89
1985-1989        0      0.01206  0.01193  0.12  100000    1193   98956  7180068  71.80
1985-1989      1-4      0.00093  0.00371  1.57   98807     367  394335  7081112  71.67
1985-1989      5-9      0.00046  0.00230  2.52   98440     227  491639  6686777  67.93
1985-1989     10-14     0.00040  0.00199  2.55   98214     195  490589  6195138  63.08
1985-1989     15-19     0.00092  0.00458  2.82   98018     449  489111  5704548  58.20
1985-1989     20-24     0.00130  0.00650  2.72   97569     634  486400  5215437  53.45
1985-1989     25-29     0.00156  0.00779  2.59   96936     755  482859  4729037  48.79
1985-1989     30-34     0.00212  0.01056  2.67   96180    1016  478539  4246179  44.15
1985-1989     35-39     0.00300  0.01488  2.64   95164    1416  472482  3767640  39.59
1985-1989     40-44     0.00441  0.02180  2.65   93748    2044  463934  3295158  35.15
1985-1989     45-49     0.00620  0.03056  2.61   91704    2802  451814  2831224  30.87
1985-1989     50-54     0.00865  0.04240  2.63   88902    3769  435567  2379409  26.76
1985-1989     55-59     0.01217  0.05914  2.60   85132    5035  413578  1943842  22.83
1985-1989     60-64     0.01707  0.08204  2.63   80098    6571  384932  1530264  19.10
1985-1989     65-69     0.02563  0.12077  2.61   73527    8880  346451  1145333  15.58
1985-1989     70-74     0.03900  0.17821  2.59   64647   11521  295436   798882  12.36
1985-1989     75-79     0.06293  0.27288  2.57   53126   14497  230372   503446   9.48
1985-1989     80-84     0.10407  0.41218  2.48   38629   15922  152998   273074   7.07
1985-1989     85-89     0.16054  0.56058  2.31   22707   12729   79291   120076   5.29
1985-1989     90-94     0.22060  0.67934  2.17    9978    6779   30728    40785   4.09
1985-1989     95-99     0.30054  0.79258  2.02    3200    2536    8438    10057   3.14
1985-1989    100-104    0.39894  0.87881  1.82     664     583    1462     1619   2.44
1985-1989    105-109    0.50634  0.93297  1.62      80      75     148      157   1.96
1985-1989    110+       0.59410  1.00000  1.68       5       5       9        9   1.68
1990-1994        0      0.01397  0.01380  0.12  100000    1380   98787  6990964  69.91
1990-1994      1-4      0.00079  0.00314  1.66   98620     310  393754  6892177  69.89
1990-1994      5-9      0.00047  0.00236  2.45   98310     232  490959  6498423  66.10
1990-1994     10-14     0.00039  0.00195  2.57   98078     191  489929  6007464  61.25
1990-1994     15-19     0.00103  0.00514  2.91   97888     503  488388  5517535  56.37
1990-1994     20-24     0.00163  0.00813  2.57   97385     792  485001  5029147  51.64
1990-1994     25-29     0.00197  0.00979  2.57   96593     945  480670  4544146  47.04
1990-1994     30-34     0.00266  0.01322  2.62   95648    1264  475229  4063476  42.48
1990-1994     35-39     0.00399  0.01976  2.67   94383    1865  467578  3588247  38.02
1990-1994     40-44     0.00584  0.02880  2.66   92519    2665  456357  3120669  33.73
1990-1994     45-49     0.00837  0.04102  2.60   89854    3686  440413  2664312  29.65
1990-1994     50-54     0.01090  0.05306  2.55   86169    4573  419618  2223899  25.81
1990-1994     55-59     0.01478  0.07136  2.60   81596    5823  393978  1804282  22.11
1990-1994     60-64     0.02015  0.09602  2.56   75773    7276  361117  1410303  18.61
1990-1994     65-69     0.02726  0.12783  2.57   68497    8756  321236  1049186  15.32
1990-1994     70-74     0.04096  0.18625  2.57   59742   11127  271651   727950  12.19
1990-1994     75-79     0.06294  0.27284  2.56   48615   13264  210736   456299   9.39
1990-1994     80-84     0.10475  0.41455  2.49   35351   14654  139904   245563   6.95
1990-1994     85-89     0.16534  0.57338  2.33   20696   11867   71771   105659   5.11
