Taiwan, Life tables (period 1x5), Total	Last modified: 18 Dec 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1970-1974        0      0.01490  0.01471  0.12  100000    1471   98704  6951447  69.51
1970-1974        1      0.00420  0.00419  0.50   98529     413   98323  6852744  69.55
1970-1974        2      0.00250  0.00249  0.50   98116     245   97994  6754421  68.84
1970-1974        3      0.00151  0.00151  0.50   97871     148   97798  6656427  68.01
1970-1974        4      0.00101  0.00101  0.50   97724      98   97675  6558630  67.11
1970-1974        5      0.00079  0.00079  0.50   97626      77   97587  6460955  66.18
1970-1974        6      0.00065  0.00065  0.50   97549      64   97517  6363368  65.23
1970-1974        7      0.00055  0.00055  0.50   97485      53   97458  6265851  64.28
1970-1974        8      0.00048  0.00048  0.50   97431      46   97408  6168393  63.31
1970-1974        9      0.00044  0.00044  0.50   97385      43   97364  6070985  62.34
1970-1974       10      0.00042  0.00042  0.50   97342      41   97322  5973622  61.37
1970-1974       11      0.00044  0.00044  0.50   97301      43   97280  5876300  60.39
1970-1974       12      0.00048  0.00048  0.50   97258      47   97235  5779020  59.42
1970-1974       13      0.00055  0.00054  0.50   97212      53   97185  5681785  58.45
1970-1974       14      0.00063  0.00063  0.50   97159      62   97128  5584600  57.48
1970-1974       15      0.00074  0.00074  0.50   97097      72   97061  5487472  56.52
1970-1974       16      0.00085  0.00085  0.50   97025      83   96984  5390411  55.56
1970-1974       17      0.00094  0.00094  0.50   96942      91   96896  5293428  54.60
1970-1974       18      0.00101  0.00101  0.50   96851      98   96802  5196531  53.65
1970-1974       19      0.00108  0.00108  0.50   96753     105   96700  5099730  52.71
1970-1974       20      0.00116  0.00115  0.50   96648     112   96592  5003029  51.77
1970-1974       21      0.00122  0.00122  0.50   96536     118   96477  4906437  50.82
1970-1974       22      0.00130  0.00130  0.50   96418     125   96356  4809960  49.89
1970-1974       23      0.00139  0.00139  0.50   96293     134   96226  4713604  48.95
1970-1974       24      0.00149  0.00149  0.50   96159     143   96087  4617379  48.02
1970-1974       25      0.00152  0.00152  0.50   96016     146   95943  4521291  47.09
1970-1974       26      0.00154  0.00154  0.50   95870     148   95796  4425349  46.16
1970-1974       27      0.00156  0.00156  0.50   95722     150   95647  4329553  45.23
1970-1974       28      0.00159  0.00159  0.50   95573     152   95497  4233905  44.30
1970-1974       29      0.00162  0.00162  0.50   95421     155   95343  4138409  43.37
1970-1974       30      0.00171  0.00171  0.50   95266     163   95184  4043066  42.44
1970-1974       31      0.00183  0.00183  0.50   95103     174   95016  3947881  41.51
1970-1974       32      0.00195  0.00195  0.50   94929     185   94837  3852865  40.59
1970-1974       33      0.00207  0.00207  0.50   94744     196   94646  3758028  39.66
1970-1974       34      0.00219  0.00218  0.50   94548     206   94445  3663382  38.75
1970-1974       35      0.00229  0.00229  0.50   94341     216   94233  3568937  37.83
1970-1974       36      0.00242  0.00242  0.50   94125     228   94012  3474704  36.92
1970-1974       37      0.00258  0.00258  0.50   93898     242   93777  3380692  36.00
1970-1974       38      0.00276  0.00276  0.50   93656     258   93527  3286915  35.10
1970-1974       39      0.00296  0.00296  0.50   93397     276   93259  3193388  34.19
1970-1974       40      0.00319  0.00318  0.50   93121     296   92973  3100129  33.29
1970-1974       41      0.00341  0.00341  0.50   92825     316   92667  3007156  32.40
1970-1974       42      0.00363  0.00362  0.50   92509     335   92341  2914489  31.51
1970-1974       43      0.00388  0.00387  0.50   92173     357   91995  2822148  30.62
1970-1974       44      0.00417  0.00416  0.50   91817     382   91625  2730153  29.73
1970-1974       45      0.00451  0.00450  0.50   91434     411   91229  2638528  28.86
1970-1974       46      0.00492  0.00490  0.50   91023     446   90800  2547299  27.99
1970-1974       47      0.00536  0.00534  0.50   90577     484   90335  2456499  27.12
