Estonia, Life tables (period 1x1), Total	Last modified: 21 Jan 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.03200  0.03115  0.15  100000    3115   97351  6866777  68.67
  1959           1      0.00277  0.00277  0.50   96885     268   96751  6769426  69.87
  1959           2      0.00150  0.00150  0.50   96617     145   96544  6672676  69.06
  1959           3      0.00083  0.00083  0.50   96472      80   96432  6576131  68.17
  1959           4      0.00066  0.00066  0.50   96392      64   96360  6479699  67.22
  1959           5      0.00083  0.00083  0.50   96329      80   96288  6383339  66.27
  1959           6      0.00105  0.00105  0.50   96248     101   96198  6287050  65.32
  1959           7      0.00052  0.00052  0.50   96147      50   96122  6190853  64.39
  1959           8      0.00075  0.00075  0.50   96097      72   96061  6094731  63.42
  1959           9      0.00080  0.00080  0.50   96025      77   95986  5998670  62.47
  1959          10      0.00052  0.00052  0.50   95948      50   95923  5902684  61.52
  1959          11      0.00065  0.00065  0.50   95898      62   95867  5806761  60.55
  1959          12      0.00068  0.00068  0.50   95836      65   95803  5710894  59.59
  1959          13      0.00100  0.00100  0.50   95771      96   95723  5615091  58.63
  1959          14      0.00090  0.00090  0.50   95675      87   95632  5519368  57.69
  1959          15      0.00127  0.00127  0.50   95589     121   95528  5423736  56.74
  1959          16      0.00091  0.00091  0.50   95467      87   95424  5328208  55.81
  1959          17      0.00116  0.00115  0.50   95380     110   95325  5232784  54.86
  1959          18      0.00153  0.00153  0.50   95270     146   95197  5137459  53.93
  1959          19      0.00156  0.00156  0.50   95124     148   95050  5042262  53.01
  1959          20      0.00221  0.00220  0.50   94976     209   94872  4947212  52.09
  1959          21      0.00262  0.00262  0.50   94767     248   94643  4852340  51.20
  1959          22      0.00188  0.00188  0.50   94518     178   94430  4757698  50.34
  1959          23      0.00244  0.00244  0.50   94341     230   94226  4663268  49.43
  1959          24      0.00198  0.00198  0.50   94111     186   94018  4569042  48.55
  1959          25      0.00246  0.00246  0.50   93925     231   93809  4475025  47.64
  1959          26      0.00221  0.00220  0.50   93694     206   93591  4381215  46.76
  1959          27      0.00211  0.00211  0.50   93488     197   93389  4287624  45.86
  1959          28      0.00219  0.00218  0.50   93290     204   93189  4194235  44.96
