Spain, Life tables (period 1x1), Total	Last modified: 23 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1908           0      0.17485  0.15592  0.31  100000   15592   89177  4141252  41.41
  1908           1      0.08456  0.08113  0.50   84408    6848   80984  4052075  48.01
  1908           2      0.04532  0.04432  0.50   77560    3437   75841  3971091  51.20
  1908           3      0.02525  0.02494  0.50   74123    1849   73198  3895250  52.55
  1908           4      0.01642  0.01629  0.50   72274    1177   71685  3822052  52.88
  1908           5      0.01098  0.01092  0.50   71097     777   70709  3750366  52.75
  1908           6      0.00899  0.00895  0.50   70320     629   70006  3679658  52.33
  1908           7      0.00595  0.00593  0.50   69691     413   69484  3609652  51.80
  1908           8      0.00481  0.00480  0.50   69278     332   69112  3540168  51.10
  1908           9      0.00400  0.00400  0.50   68946     276   68808  3471056  50.34
  1908          10      0.00355  0.00354  0.50   68670     243   68549  3402248  49.54
  1908          11      0.00331  0.00330  0.50   68427     226   68314  3333699  48.72
  1908          12      0.00362  0.00361  0.50   68201     247   68077  3265386  47.88
  1908          13      0.00364  0.00364  0.50   67954     247   67831  3197308  47.05
  1908          14      0.00436  0.00435  0.50   67707     294   67560  3129477  46.22
  1908          15      0.00421  0.00420  0.50   67413     283   67271  3061917  45.42
  1908          16      0.00488  0.00486  0.50   67129     327   66966  2994646  44.61
  1908          17      0.00599  0.00597  0.50   66803     399   66603  2927680  43.83
  1908          18      0.00730  0.00728  0.50   66404     483   66162  2861077  43.09
  1908          19      0.00677  0.00675  0.50   65921     445   65698  2794914  42.40
  1908          20      0.00704  0.00702  0.50   65476     460   65246  2729216  41.68
  1908          21      0.00642  0.00640  0.50   65016     416   64808  2663970  40.97
  1908          22      0.00793  0.00790  0.50   64600     510   64345  2599162  40.23
  1908          23      0.00786  0.00783  0.50   64090     502   63839  2534817  39.55
  1908          24      0.00852  0.00848  0.50   63588     539   63319  2470978  38.86
  1908          25      0.00786  0.00783  0.50   63049     494   62802  2407660  38.19
