Lithuania, Life tables (period 1x1), Total	Last modified: 29 Jan 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.05406  0.05189  0.23  100000    5189   95993  6772540  67.73
  1959           1      0.00402  0.00402  0.50   94811     381   94621  6676547  70.42
  1959           2      0.00227  0.00227  0.50   94430     214   94323  6581927  69.70
  1959           3      0.00129  0.00129  0.50   94216     121   94155  6487604  68.86
  1959           4      0.00125  0.00125  0.50   94095     118   94036  6393449  67.95
  1959           5      0.00086  0.00086  0.50   93977      81   93936  6299413  67.03
  1959           6      0.00108  0.00108  0.50   93896     101   93845  6205477  66.09
  1959           7      0.00072  0.00072  0.50   93794      67   93761  6111632  65.16
  1959           8      0.00073  0.00073  0.50   93727      68   93693  6017871  64.21
  1959           9      0.00061  0.00061  0.50   93659      57   93630  5924178  63.25
  1959          10      0.00094  0.00094  0.50   93601      88   93558  5830548  62.29
  1959          11      0.00070  0.00070  0.50   93514      66   93481  5736991  61.35
  1959          12      0.00053  0.00053  0.50   93448      50   93423  5643510  60.39
  1959          13      0.00059  0.00059  0.50   93398      55   93371  5550087  59.42
  1959          14      0.00113  0.00113  0.50   93343     106   93291  5456716  58.46
  1959          15      0.00099  0.00099  0.50   93238      92   93192  5363425  57.52
  1959          16      0.00104  0.00104  0.50   93145      97   93097  5270233  56.58
  1959          17      0.00096  0.00096  0.50   93049      89   93004  5177136  55.64
  1959          18      0.00163  0.00162  0.50   92959     151   92884  5084132  54.69
  1959          19      0.00162  0.00162  0.50   92808     151   92733  4991248  53.78
  1959          20      0.00153  0.00153  0.50   92658     142   92587  4898515  52.87
  1959          21      0.00145  0.00144  0.50   92516     134   92449  4805928  51.95
  1959          22      0.00161  0.00161  0.50   92382     148   92308  4713479  51.02
  1959          23      0.00166  0.00166  0.50   92234     153   92157  4621171  50.10
  1959          24      0.00181  0.00181  0.50   92081     166   91998  4529014  49.19
  1959          25      0.00163  0.00163  0.50   91914     150   91839  4437016  48.27
  1959          26      0.00171  0.00171  0.50   91764     156   91686  4345177  47.35
  1959          27      0.00237  0.00236  0.50   91608     216   91500  4253491  46.43
  1959          28      0.00204  0.00204  0.50   91391     187   91298  4161991  45.54
  1959          29      0.00193  0.00193  0.50   91205     176   91117  4070693  44.63
  1959          30      0.00237  0.00237  0.50   91029     215   90921  3979576  43.72
  1959          31      0.00183  0.00183  0.50   90814     166   90730  3888655  42.82
  1959          32      0.00242  0.00241  0.50   90647     219   90538  3797925  41.90
  1959          33      0.00236  0.00235  0.50   90429     213   90322  3707387  41.00
  1959          34      0.00198  0.00198  0.50   90216     179   90126  3617064  40.09
  1959          35      0.00249  0.00249  0.50   90037     224   89925  3526938  39.17
  1959          36      0.00290  0.00289  0.50   89813     260   89683  3437013  38.27
  1959          37      0.00291  0.00290  0.50   89553     260   89423  3347330  37.38
  1959          38      0.00340  0.00340  0.50   89293     303   89142  3257907  36.49
  1959          39      0.00277  0.00276  0.50   88990     246   88867  3168765  35.61
  1959          40      0.00386  0.00385  0.50   88744     342   88573  3079898  34.71
  1959          41      0.00308  0.00307  0.50   88402     272   88266  2991325  33.84
  1959          42      0.00350  0.00349  0.50   88130     308   87977  2903059  32.94
  1959          43      0.00356  0.00355  0.50   87823     312   87667  2815082  32.05
  1959          44      0.00406  0.00406  0.50   87511     355   87333  2727415  31.17
  1959          45      0.00430  0.00430  0.50   87156     374   86968  2640082  30.29
  1959          46      0.00450  0.00449  0.50   86781     390   86586  2553114  29.42
  1959          47      0.00507  0.00506  0.50   86392     437   86173  2466527  28.55
  1959          48      0.00528  0.00527  0.50   85955     453   85728  2380354  27.69
  1959          49      0.00480  0.00479  0.50   85502     409   85297  2294626  26.84
  1959          50      0.00626  0.00624  0.50   85093     531   84827  2209329  25.96
  1959          51      0.00611  0.00610  0.50   84561     515   84304  2124502  25.12
  1959          52      0.00844  0.00840  0.50   84046     706   83693  2040198  24.27
  1959          53      0.00833  0.00829  0.50   83340     691   82994  1956505  23.48
  1959          54      0.01017  0.01012  0.50   82649     836   82231  1873511  22.67
  1959          55      0.00916  0.00912  0.50   81813     746   81439  1791281  21.89
  1959          56      0.01018  0.01013  0.50   81066     821   80656  1709841  21.09
  1959          57      0.01076  0.01070  0.50   80245     859   79816  1629186  20.30
  1959          58      0.01361  0.01352  0.50   79386    1073   78850  1549370  19.52
  1959          59      0.01277  0.01269  0.50   78313     994   77816  1470521  18.78
  1959          60      0.01539  0.01528  0.50   77320    1181   76729  1392704  18.01
  1959          61      0.01528  0.01516  0.50   76138    1154   75561  1315975  17.28
  1959          62      0.02016  0.01996  0.50   74984    1496   74236  1240414  16.54
  1959          63      0.02204  0.02180  0.50   73488    1602   72686  1166178  15.87
  1959          64      0.02310  0.02284  0.50   71885    1642   71065  1093492  15.21
  1959          65      0.02296  0.02270  0.50   70244    1595   69446  1022427  14.56
  1959          66      0.02344  0.02317  0.50   68649    1591   67854   952980  13.88
  1959          67      0.02863  0.02822  0.50   67059    1893   66112   885127  13.20
  1959          68      0.03043  0.02997  0.50   65166    1953   64189   819014  12.57
  1959          69      0.03234  0.03182  0.50   63213    2012   62207   754825  11.94
  1959          70      0.03850  0.03778  0.50   61201    2312   60045   692619  11.32
  1959          71      0.03565  0.03502  0.50   58889    2063   57858   632574  10.74
  1959          72      0.05473  0.05327  0.50   56826    3027   55313   574716  10.11
  1959          73      0.05048  0.04923  0.50   53799    2649   52475   519403   9.65
  1959          74      0.06222  0.06035  0.50   51151    3087   49607   466928   9.13
  1959          75      0.06027  0.05851  0.50   48064    2812   46658   417321   8.68
  1959          76      0.06621  0.06409  0.50   45252    2900   43801   370663   8.19
  1959          77      0.07939  0.07636  0.50   42351    3234   40734   326862   7.72
