Greece, Life tables (period 1x1), Total	Last modified: 08 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1981           0      0.01388  0.01372  0.12  100000    1372   98794  7572685  75.73
  1981           1      0.00065  0.00065  0.50   98628      64   98596  7473890  75.78
  1981           2      0.00044  0.00044  0.50   98564      44   98542  7375294  74.83
  1981           3      0.00039  0.00039  0.50   98520      38   98501  7276752  73.86
  1981           4      0.00040  0.00040  0.50   98482      39   98462  7178251  72.89
  1981           5      0.00023  0.00023  0.50   98443      22   98432  7079789  71.92
  1981           6      0.00026  0.00026  0.50   98421      26   98408  6981357  70.93
  1981           7      0.00023  0.00023  0.50   98395      22   98384  6882949  69.95
  1981           8      0.00023  0.00023  0.50   98373      22   98361  6784566  68.97
  1981           9      0.00027  0.00027  0.50   98350      27   98337  6686204  67.98
  1981          10      0.00029  0.00029  0.50   98324      29   98309  6587867  67.00
  1981          11      0.00021  0.00021  0.50   98295      20   98285  6489558  66.02
  1981          12      0.00023  0.00023  0.50   98274      22   98263  6391274  65.04
  1981          13      0.00033  0.00033  0.50   98252      33   98236  6293010  64.05
  1981          14      0.00030  0.00030  0.50   98219      29   98204  6194775  63.07
  1981          15      0.00046  0.00046  0.50   98190      46   98167  6096570  62.09
  1981          16      0.00054  0.00054  0.50   98144      53   98117  5998404  61.12
  1981          17      0.00059  0.00059  0.50   98091      57   98062  5900286  60.15
  1981          18      0.00073  0.00073  0.50   98033      72   97997  5802224  59.19
  1981          19      0.00056  0.00056  0.50   97961      54   97934  5704227  58.23
  1981          20      0.00080  0.00080  0.50   97907      78   97868  5606292  57.26
  1981          21      0.00080  0.00080  0.50   97829      79   97790  5508424  56.31
  1981          22      0.00070  0.00070  0.50   97750      68   97716  5410634  55.35
  1981          23      0.00086  0.00086  0.50   97682      84   97640  5312918  54.39
  1981          24      0.00081  0.00081  0.50   97598      79   97558  5215278  53.44
  1981          25      0.00079  0.00079  0.50   97518      77   97480  5117720  52.48
  1981          26      0.00078  0.00078  0.50   97441      76   97404  5020240  51.52
  1981          27      0.00080  0.00080  0.50   97366      78   97327  4922837  50.56
  1981          28      0.00080  0.00080  0.50   97288      77   97249  4825510  49.60
  1981          29      0.00076  0.00076  0.50   97211      74   97174  4728260  48.64
  1981          30      0.00076  0.00076  0.50   97137      73   97100  4631087  47.68
  1981          31      0.00089  0.00089  0.50   97063      86   97020  4533987  46.71
  1981          32      0.00083  0.00083  0.50   96977      81   96937  4436966  45.75
  1981          33      0.00080  0.00080  0.50   96897      78   96858  4340029  44.79
  1981          34      0.00087  0.00087  0.50   96819      85   96777  4243171  43.83
  1981          35      0.00117  0.00117  0.50   96734     113   96678  4146395  42.86
  1981          36      0.00096  0.00096  0.50   96621      93   96575  4049717  41.91
  1981          37      0.00128  0.00128  0.50   96528     123   96466  3953143  40.95
  1981          38      0.00096  0.00096  0.50   96405      92   96359  3856676  40.01
  1981          39      0.00097  0.00097  0.50   96312      93   96266  3760318  39.04
  1981          40      0.00133  0.00133  0.50   96219     128   96155  3664052  38.08
  1981          41      0.00160  0.00159  0.50   96091     153   96015  3567896  37.13
  1981          42      0.00145  0.00144  0.50   95938     139   95869  3471882  36.19
  1981          43      0.00179  0.00179  0.50   95799     172   95714  3376013  35.24
  1981          44      0.00176  0.00175  0.50   95628     168   95544  3280300  34.30
  1981          45      0.00196  0.00196  0.50   95460     187   95367  3184756  33.36
  1981          46      0.00247  0.00247  0.50   95273     235   95156  3089389  32.43
  1981          47      0.00268  0.00268  0.50   95038     255   94911  2994234  31.51
  1981          48      0.00277  0.00276  0.50   94783     262   94652  2899323  30.59
  1981          49      0.00292  0.00291  0.50   94521     276   94383  2804671  29.67
  1981          50      0.00383  0.00382  0.50   94246     360   94065  2710287  28.76
  1981          51      0.00401  0.00401  0.50   93885     376   93697  2616222  27.87
  1981          52      0.00447  0.00446  0.50   93509     417   93301  2522525  26.98
  1981          53      0.00450  0.00449  0.50   93092     418   92883  2429224  26.09
  1981          54      0.00524  0.00523  0.50   92674     485   92432  2336341  25.21
  1981          55      0.00624  0.00623  0.50   92190     574   91903  2243909  24.34
  1981          56      0.00641  0.00639  0.50   91616     585   91323  2152006  23.49
  1981          57      0.00740  0.00738  0.50   91030     671   90695  2060683  22.64
  1981          58      0.00808  0.00805  0.50   90359     727   89995  1969988  21.80
  1981          59      0.00808  0.00805  0.50   89632     721   89271  1879993  20.97
  1981          60      0.01032  0.01027  0.50   88911     913   88454  1790722  20.14
  1981          61      0.01204  0.01197  0.50   87998    1053   87471  1702267  19.34
  1981          62      0.01190  0.01183  0.50   86944    1029   86430  1614796  18.57
  1981          63      0.01395  0.01385  0.50   85916    1190   85321  1528366  17.79
  1981          64      0.01520  0.01508  0.50   84726    1278   84087  1443046  17.03
  1981          65      0.01655  0.01641  0.50   83448    1370   82763  1358959  16.29
  1981          66      0.01918  0.01900  0.50   82078    1559   81298  1276196  15.55
  1981          67      0.01980  0.01960  0.50   80519    1578   79729  1194898  14.84
  1981          68      0.02227  0.02203  0.50   78940    1739   78071  1115168  14.13
  1981          69      0.02328  0.02301  0.50   77202    1777   76313  1037098  13.43
  1981          70      0.02701  0.02665  0.50   75425    2010   74420   960784  12.74
  1981          71      0.03111  0.03063  0.50   73415    2249   72291   886364  12.07
  1981          72      0.03689  0.03622  0.50   71166    2578   69878   814073  11.44
  1981          73      0.03925  0.03849  0.50   68589    2640   67269   744196  10.85
  1981          74      0.04161  0.04076  0.50   65949    2688   64605   676927  10.26
  1981          75      0.04702  0.04594  0.50   63260    2906   61807   612322   9.68
  1981          76      0.05530  0.05381  0.50   60354    3248   58730   550515   9.12
  1981          77      0.05982  0.05808  0.50   57107    3317   55448   491785   8.61
  1981          78      0.06901  0.06671  0.50   53790    3588   51996   436337   8.11
  1981          79      0.06761  0.06539  0.50   50201    3283   48560   384341   7.66
  1981          80      0.08851  0.08476  0.50   46919    3977   44930   335781   7.16
  1981          81      0.09617  0.09176  0.50   42942    3940   40972   290851   6.77
  1981          82      0.09107  0.08710  0.50   39002    3397   37303   249879   6.41
  1981          83      0.11643  0.11002  0.50   35605    3917   33646   212576   5.97
  1981          84      0.11648  0.11007  0.50   31687    3488   29943   178930   5.65
  1981          85      0.13810  0.12918  0.50   28199    3643   26378   148987   5.28
  1981          86      0.15618  0.14487  0.50   24557    3557   22778   122609   4.99
  1981          87      0.15273  0.14190  0.50   20999    2980   19509    99831   4.75
  1981          88      0.17674  0.16239  0.50   18019    2926   16556    80322   4.46
  1981          89      0.18237  0.16713  0.50   15093    2523   13832    63765   4.22
  1981          90      0.21137  0.19116  0.50   12571    2403   11369    49933   3.97
  1981          91      0.23165  0.20760  0.50   10168    2111    9112    38564   3.79
  1981          92      0.21198  0.19167  0.50    8057    1544    7285    29452   3.66
  1981          93      0.25913  0.22941  0.50    6513    1494    5766    22167   3.40
  1981          94      0.23724  0.21208  0.50    5019    1064    4486    16402   3.27
  1981          95      0.28630  0.25045  0.50    3954     990    3459    11915   3.01
  1981          96      0.30628  0.26560  0.50    2964     787    2570     8456   2.85
  1981          97      0.32702  0.28106  0.50    2177     612    1871     5886   2.70
  1981          98      0.34847  0.29676  0.50    1565     464    1333     4015   2.57
  1981          99      0.37056  0.31263  0.50    1100     344     928     2683   2.44
  1981         100      0.39321  0.32861  0.50     756     249     632     1754   2.32
  1981         101      0.41635  0.34461  0.50     508     175     420     1122   2.21
  1981         102      0.43989  0.36058  0.50     333     120     273      702   2.11
  1981         103      0.46371  0.37643  0.50     213      80     173      429   2.01
  1981         104      0.48772  0.39210  0.50     133      52     107      256   1.93
  1981         105      0.51181  0.40753  0.50      81      33      64      149   1.85
  1981         106      0.53587  0.42263  0.50      48      20      38       85   1.78
  1981         107      0.55979  0.43737  0.50      28      12      22       47   1.72
  1981         108      0.58345  0.45169  0.50      16       7      12       26   1.66
  1981         109      0.60677  0.46553  0.50       9       4       7       14   1.62
  1981         110+     0.62963  1.00000  1.59       5       5       7        7   1.59
  1982           0      0.01459  0.01440  0.12  100000    1440   98732  7585210  75.85
  1982           1      0.00056  0.00056  0.50   98560      55   98532  7486478  75.96
  1982           2      0.00043  0.00043  0.50   98504      42   98483  7387946  75.00
  1982           3      0.00035  0.00035  0.50   98462      34   98445  7289462  74.03
  1982           4      0.00024  0.00024  0.50   98428      24   98416  7191017  73.06
  1982           5      0.00028  0.00028  0.50   98405      27   98391  7092601  72.08
  1982           6      0.00030  0.00030  0.50   98378      29   98363  6994209  71.10
  1982           7      0.00021  0.00021  0.50   98348      20   98338  6895846  70.12
  1982           8      0.00030  0.00030  0.50   98328      30   98313  6797508  69.13
  1982           9      0.00027  0.00027  0.50   98299      27   98285  6699195  68.15
  1982          10      0.00026  0.00026  0.50   98272      25   98259  6600910  67.17
  1982          11      0.00020  0.00020  0.50   98246      20   98237  6502651  66.19
  1982          12      0.00028  0.00028  0.50   98227      28   98213  6404414  65.20
  1982          13      0.00024  0.00024  0.50   98199      24   98187  6306201  64.22
  1982          14      0.00035  0.00035  0.50   98175      35   98158  6208014  63.23
  1982          15      0.00041  0.00041  0.50   98141      41   98120  6109856  62.26
  1982          16      0.00045  0.00045  0.50   98100      44   98078  6011736  61.28
  1982          17      0.00074  0.00074  0.50   98056      72   98020  5913658  60.31
  1982          18      0.00069  0.00069  0.50   97983      68   97950  5815639  59.35
  1982          19      0.00069  0.00069  0.50   97916      68   97882  5717689  58.39
  1982          20      0.00077  0.00077  0.50   97848      75   97811  5619807  57.43
  1982          21      0.00088  0.00088  0.50   97773      86   97730  5521996  56.48
  1982          22      0.00069  0.00069  0.50   97687      68   97653  5424266  55.53
  1982          23      0.00068  0.00068  0.50   97620      67   97586  5326612  54.56
