Hong Kong, Life tables (period 1x1), Total	Last modified: 27 Sep 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1986           0      0.00721  0.00717  0.13  100000     717   99380  7695083  76.95
  1986           1      0.00056  0.00056  0.50   99283      56   99256  7595703  76.51
  1986           2      0.00034  0.00033  0.50   99228      33   99211  7496448  75.55
  1986           3      0.00036  0.00036  0.50   99195      35   99177  7397236  74.57
  1986           4      0.00022  0.00022  0.50   99159      21   99149  7298059  73.60
  1986           5      0.00021  0.00021  0.50   99138      21   99128  7198910  72.62
  1986           6      0.00020  0.00020  0.50   99117      20   99107  7099783  71.63
  1986           7      0.00018  0.00018  0.50   99097      18   99088  7000676  70.64
  1986           8      0.00015  0.00015  0.50   99079      14   99072  6901588  69.66
  1986           9      0.00018  0.00018  0.50   99065      17   99056  6802515  68.67
  1986          10      0.00017  0.00017  0.50   99047      16   99039  6703459  67.68
  1986          11      0.00018  0.00018  0.50   99031      18   99022  6604420  66.69
  1986          12      0.00025  0.00025  0.50   99013      25   99001  6505398  65.70
  1986          13      0.00033  0.00033  0.50   98988      32   98972  6406397  64.72
  1986          14      0.00022  0.00022  0.50   98956      21   98945  6307425  63.74
  1986          15      0.00029  0.00029  0.50   98934      29   98920  6208480  62.75
  1986          16      0.00026  0.00026  0.50   98906      26   98893  6109560  61.77
  1986          17      0.00029  0.00029  0.50   98880      29   98865  6010667  60.79
  1986          18      0.00042  0.00042  0.50   98851      42   98830  5911802  59.81
  1986          19      0.00036  0.00036  0.50   98809      36   98791  5812973  58.83
  1986          20      0.00050  0.00050  0.50   98773      50   98748  5714182  57.85
  1986          21      0.00045  0.00045  0.50   98724      44   98701  5615433  56.88
  1986          22      0.00038  0.00038  0.50   98679      38   98660  5516732  55.91
  1986          23      0.00038  0.00038  0.50   98642      37   98623  5418071  54.93
  1986          24      0.00046  0.00046  0.50   98604      45   98582  5319448  53.95
  1986          25      0.00053  0.00053  0.50   98559      52   98533  5220867  52.97
  1986          26      0.00045  0.00045  0.50   98507      44   98485  5122334  52.00
  1986          27      0.00049  0.00049  0.50   98463      48   98439  5023849  51.02
  1986          28      0.00047  0.00047  0.50   98415      46   98392  4925410  50.05
  1986          29      0.00053  0.00053  0.50   98369      52   98343  4827019  49.07
  1986          30      0.00065  0.00065  0.50   98316      64   98284  4728676  48.10
  1986          31      0.00074  0.00074  0.50   98253      73   98216  4630392  47.13
  1986          32      0.00077  0.00077  0.50   98180      75   98143  4532175  46.16
  1986          33      0.00079  0.00079  0.50   98105      77   98066  4434033  45.20
  1986          34      0.00074  0.00074  0.50   98028      72   97992  4335967  44.23
  1986          35      0.00084  0.00084  0.50   97955      83   97914  4237975  43.26
  1986          36      0.00111  0.00111  0.50   97873     109   97819  4140061  42.30
  1986          37      0.00122  0.00122  0.50   97764     119   97705  4042242  41.35
  1986          38      0.00099  0.00099  0.50   97645      97   97597  3944538  40.40
  1986          39      0.00130  0.00130  0.50   97548     127   97485  3846941  39.44
  1986          40      0.00137  0.00137  0.50   97421     134   97355  3749456  38.49
  1986          41      0.00140  0.00140  0.50   97288     136   97220  3652102  37.54
  1986          42      0.00185  0.00185  0.50   97152     180   97062  3554882  36.59
  1986          43      0.00226  0.00225  0.50   96972     219   96863  3457820  35.66
  1986          44      0.00236  0.00235  0.50   96754     228   96640  3360957  34.74
  1986          45      0.00241  0.00241  0.50   96526     232   96410  3264317  33.82
  1986          46      0.00242  0.00242  0.50   96294     233   96177  3167907  32.90
  1986          47      0.00277  0.00277  0.50   96061     266   95928  3071730  31.98
  1986          48      0.00307  0.00306  0.50   95795     294   95648  2975802  31.06
  1986          49      0.00340  0.00340  0.50   95501     324   95339  2880154  30.16
  1986          50      0.00463  0.00461  0.50   95177     439   94957  2784815  29.26
  1986          51      0.00458  0.00456  0.50   94738     432   94522  2689858  28.39
  1986          52      0.00493  0.00492  0.50   94305     464   94073  2595336  27.52
  1986          53      0.00603  0.00602  0.50   93842     565   93559  2501263  26.65
  1986          54      0.00606  0.00604  0.50   93277     564   92995  2407703  25.81
  1986          55      0.00644  0.00642  0.50   92713     595   92416  2314708  24.97
  1986          56      0.00832  0.00829  0.50   92118     763   91736  2222292  24.12
  1986          57      0.00685  0.00683  0.50   91355     624   91043  2130556  23.32
  1986          58      0.00909  0.00905  0.50   90731     821   90321  2039513  22.48
  1986          59      0.00845  0.00841  0.50   89910     756   89532  1949193  21.68
  1986          60      0.01172  0.01165  0.50   89154    1039   88635  1859661  20.86
  1986          61      0.01090  0.01084  0.50   88115     955   87638  1771026  20.10
  1986          62      0.01272  0.01264  0.50   87160    1102   86609  1683388  19.31
  1986          63      0.01369  0.01360  0.50   86058    1170   85473  1596779  18.55
  1986          64      0.01612  0.01599  0.50   84888    1357   84209  1511306  17.80
  1986          65      0.01953  0.01934  0.50   83531    1615   82723  1427096  17.08
  1986          66      0.01891  0.01873  0.50   81915    1534   81148  1344373  16.41
  1986          67      0.01883  0.01865  0.50   80381    1499   79631  1263225  15.72
  1986          68      0.02325  0.02298  0.50   78882    1813   77975  1183594  15.00
  1986          69      0.02428  0.02399  0.50   77069    1849   76144  1105618  14.35
  1986          70      0.02774  0.02736  0.50   75220    2058   74191  1029474  13.69
  1986          71      0.02948  0.02905  0.50   73162    2126   72100   955282  13.06
  1986          72      0.03064  0.03018  0.50   71037    2144   69965   883183  12.43
  1986          73      0.03632  0.03567  0.50   68893    2457   67664   813218  11.80
  1986          74      0.03918  0.03843  0.50   66436    2553   65159   745554  11.22
  1986          75      0.04784  0.04672  0.50   63883    2985   62390   680395  10.65
  1986          76      0.04871  0.04755  0.50   60898    2896   59450   618005  10.15
  1986          77      0.05097  0.04970  0.50   58002    2883   56561   558555   9.63
  1986          78      0.05352  0.05213  0.50   55120    2873   53683   501994   9.11
  1986          79      0.05091  0.04965  0.50   52246    2594   50949   448311   8.58
  1986          80      0.07755  0.07466  0.50   49652    3707   47799   397361   8.00
  1986          81      0.06994  0.06758  0.50   45945    3105   44393   349563   7.61
  1986          82      0.08138  0.07820  0.50   42840    3350   41166   305170   7.12
  1986          83      0.09215  0.08809  0.50   39491    3479   37751   264004   6.69
  1986          84      0.10799  0.10246  0.50   36012    3690   34167   226253   6.28
  1986          85      0.11650  0.11009  0.50   32322    3558   30543   192086   5.94
  1986          86      0.13057  0.12257  0.50   28764    3525   27001   161544   5.62
  1986          87      0.13155  0.12343  0.50   25238    3115   23681   134543   5.33
  1986          88      0.14341  0.13382  0.50   22123    2960   20643   110862   5.01
  1986          89      0.15631  0.14498  0.50   19163    2778   17774    90219   4.71
  1986          90      0.17028  0.15692  0.50   16385    2571   15099    72446   4.42
  1986          91      0.18539  0.16966  0.50   13813    2344   12642    57347   4.15
  1986          92      0.20165  0.18318  0.50   11470    2101   10419    44705   3.90
  1986          93      0.21910  0.19747  0.50    9369    1850    8444    34286   3.66
  1986          94      0.23774  0.21248  0.50    7519    1598    6720    25842   3.44
  1986          95      0.25757  0.22818  0.50    5921    1351    5246    19122   3.23
  1986          96      0.27856  0.24451  0.50    4570    1117    4011    13877   3.04
  1986          97      0.30069  0.26139  0.50    3453     902    3001     9865   2.86
  1986          98      0.32389  0.27874  0.50    2550     711    2195     6864   2.69
  1986          99      0.34807  0.29648  0.50    1839     545    1567     4669   2.54
  1986         100      0.37315  0.31448  0.50    1294     407    1091     3102   2.40
  1986         101      0.39901  0.33265  0.50     887     295     740     2012   2.27
  1986         102      0.42551  0.35087  0.50     592     208     488     1272   2.15
  1986         103      0.45251  0.36902  0.50     384     142     313      784   2.04
  1986         104      0.47984  0.38699  0.50     242      94     196      471   1.94
  1986         105      0.50734  0.40468  0.50     149      60     119      275   1.85
  1986         106      0.53483  0.42198  0.50      88      37      70      157   1.77
  1986         107      0.56214  0.43881  0.50      51      22      40       87   1.70
  1986         108      0.58911  0.45507  0.50      29      13      22       47   1.64
  1986         109      0.61557  0.47070  0.50      16       7      12       25   1.59
  1986         110+     0.64138  1.00000  1.56       8       8      13       13   1.56
  1987           0      0.00699  0.00694  0.13  100000     694   99399  7701431  77.01
  1987           1      0.00063  0.00063  0.50   99306      63   99274  7602032  76.55
  1987           2      0.00030  0.00030  0.50   99243      30   99228  7502758  75.60
  1987           3      0.00030  0.00030  0.50   99213      30   99198  7403530  74.62
  1987           4      0.00024  0.00024  0.50   99183      24   99171  7304332  73.64
  1987           5      0.00012  0.00012  0.50   99159      12   99153  7205160  72.66
