Spain, Life tables (period 1x10), Total	Last modified: 23 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1908-1909        0      0.17754  0.15806  0.31  100000   15806   89028  4125453  41.25
1908-1909        1      0.08260  0.07933  0.50   84194    6679   80854  4036426  47.94
1908-1909        2      0.04379  0.04286  0.50   77515    3322   75854  3955571  51.03
1908-1909        3      0.02495  0.02465  0.50   74193    1829   73278  3879718  52.29
1908-1909        4      0.01656  0.01642  0.50   72364    1188   71770  3806439  52.60
1908-1909        5      0.01083  0.01077  0.50   71176     767   70793  3734669  52.47
1908-1909        6      0.00889  0.00885  0.50   70409     623   70098  3663876  52.04
1908-1909        7      0.00603  0.00601  0.50   69786     419   69577  3593779  51.50
1908-1909        8      0.00461  0.00460  0.50   69367     319   69207  3524202  50.81
1908-1909        9      0.00376  0.00376  0.50   69048     259   68918  3454994  50.04
1908-1909       10      0.00351  0.00351  0.50   68789     241   68668  3386076  49.22
1908-1909       11      0.00323  0.00322  0.50   68547     221   68437  3317408  48.40
1908-1909       12      0.00348  0.00348  0.50   68327     237   68208  3248971  47.55
1908-1909       13      0.00357  0.00357  0.50   68089     243   67968  3180763  46.71
1908-1909       14      0.00429  0.00428  0.50   67846     291   67701  3112796  45.88
1908-1909       15      0.00430  0.00429  0.50   67556     290   67411  3045095  45.08
1908-1909       16      0.00487  0.00486  0.50   67266     327   67102  2977684  44.27
1908-1909       17      0.00591  0.00589  0.50   66939     394   66742  2910582  43.48
1908-1909       18      0.00715  0.00712  0.50   66545     474   66307  2843840  42.74
1908-1909       19      0.00665  0.00663  0.50   66070     438   65851  2777532  42.04
1908-1909       20      0.00725  0.00722  0.50   65633     474   65396  2711681  41.32
1908-1909       21      0.00641  0.00639  0.50   65159     416   64951  2646285  40.61
1908-1909       22      0.00829  0.00825  0.50   64743     534   64475  2581335  39.87
1908-1909       23      0.00781  0.00778  0.50   64208     500   63959  2516859  39.20
1908-1909       24      0.00825  0.00822  0.50   63709     524   63447  2452901  38.50
1908-1909       25      0.00810  0.00807  0.50   63185     510   62930  2389454  37.82
1908-1909       26      0.00808  0.00805  0.50   62675     504   62423  2326523  37.12
1908-1909       27      0.00706  0.00703  0.50   62171     437   61952  2264100  36.42
1908-1909       28      0.00791  0.00788  0.50   61734     487   61490  2202148  35.67
1908-1909       29      0.00661  0.00659  0.50   61247     403   61045  2140658  34.95
1908-1909       30      0.01233  0.01226  0.50   60844     746   60471  2079612  34.18
1908-1909       31      0.00607  0.00605  0.50   60098     363   59916  2019141  33.60
1908-1909       32      0.00936  0.00932  0.50   59735     557   59456  1959225  32.80
1908-1909       33      0.00842  0.00838  0.50   59178     496   58930  1899769  32.10
1908-1909       34      0.00870  0.00866  0.50   58682     508   58427  1840839  31.37
1908-1909       35      0.00998  0.00993  0.50   58173     578   57884  1782412  30.64
1908-1909       36      0.01016  0.01011  0.50   57596     582   57305  1724527  29.94
1908-1909       37      0.00700  0.00698  0.50   57014     398   56815  1667223  29.24
1908-1909       38      0.00819  0.00815  0.50   56616     462   56385  1610408  28.44
1908-1909       39      0.00705  0.00702  0.50   56154     394   55957  1554023  27.67
1908-1909       40      0.01922  0.01904  0.50   55760    1062   55229  1498066  26.87
1908-1909       41      0.00738  0.00735  0.50   54698     402   54497  1442837  26.38
1908-1909       42      0.01228  0.01220  0.50   54296     663   53965  1388340  25.57
1908-1909       43      0.00829  0.00825  0.50   53633     443   53412  1334375  24.88
1908-1909       44      0.01121  0.01115  0.50   53191     593   52894  1280963  24.08
1908-1909       45      0.01509  0.01498  0.50   52598     788   52204  1228069  23.35
1908-1909       46      0.01284  0.01276  0.50   51810     661   51479  1175865  22.70
1908-1909       47      0.00914  0.00910  0.50   51149     465   50916  1124386  21.98
1908-1909       48      0.01151  0.01144  0.50   50684     580   50394  1073470  21.18
1908-1909       49      0.01015  0.01009  0.50   50104     506   49851  1023076  20.42
1908-1909       50      0.03019  0.02974  0.50   49598    1475   48860   973225  19.62
1908-1909       51      0.01155  0.01148  0.50   48123     553   47847   924365  19.21
1908-1909       52      0.01824  0.01808  0.50   47570     860   47140   876518  18.43
1908-1909       53      0.01350  0.01341  0.50   46710     627   46397   829378  17.76
1908-1909       54      0.01957  0.01938  0.50   46084     893   45637   782980  16.99
1908-1909       55      0.02356  0.02329  0.50   45191    1052   44665   737343  16.32
1908-1909       56      0.02488  0.02458  0.50   44139    1085   43596   692678  15.69
1908-1909       57      0.01561  0.01549  0.50   43054     667   42720   649082  15.08
