East Germany, Life tables (period 1x10), Total	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1956-1959        0      0.04557  0.04396  0.20  100000    4396   96472  6866964  68.67
1956-1959        1      0.00385  0.00385  0.50   95604     368   95420  6770492  70.82
1956-1959        2      0.00177  0.00177  0.50   95236     169   95152  6675072  70.09
1956-1959        3      0.00120  0.00120  0.50   95067     114   95010  6579920  69.21
1956-1959        4      0.00090  0.00090  0.50   94953      85   94910  6484910  68.30
1956-1959        5      0.00077  0.00077  0.50   94868      73   94831  6390000  67.36
1956-1959        6      0.00061  0.00061  0.50   94795      58   94766  6295169  66.41
1956-1959        7      0.00060  0.00060  0.50   94737      57   94708  6200403  65.45
1956-1959        8      0.00051  0.00051  0.50   94680      49   94656  6105694  64.49
1956-1959        9      0.00054  0.00054  0.50   94631      51   94606  6011039  63.52
1956-1959       10      0.00046  0.00046  0.50   94580      43   94558  5916433  62.55
1956-1959       11      0.00046  0.00046  0.50   94537      43   94515  5821875  61.58
1956-1959       12      0.00042  0.00042  0.50   94493      40   94474  5727360  60.61
1956-1959       13      0.00049  0.00049  0.50   94454      47   94431  5632886  59.64
1956-1959       14      0.00054  0.00054  0.50   94407      51   94382  5538456  58.67
1956-1959       15      0.00063  0.00063  0.50   94356      60   94326  5444074  57.70
1956-1959       16      0.00075  0.00075  0.50   94297      70   94261  5349747  56.73
1956-1959       17      0.00086  0.00086  0.50   94226      81   94186  5255486  55.78
1956-1959       18      0.00101  0.00101  0.50   94145      95   94098  5161300  54.82
1956-1959       19      0.00116  0.00116  0.50   94050     109   93996  5067203  53.88
1956-1959       20      0.00120  0.00120  0.50   93941     113   93885  4973207  52.94
1956-1959       21      0.00126  0.00125  0.50   93828     118   93770  4879322  52.00
1956-1959       22      0.00125  0.00125  0.50   93711     117   93652  4785552  51.07
1956-1959       23      0.00124  0.00124  0.50   93594     116   93536  4691900  50.13
1956-1959       24      0.00124  0.00124  0.50   93478     116   93420  4598364  49.19
1956-1959       25      0.00127  0.00127  0.50   93362     118   93303  4504945  48.25
1956-1959       26      0.00131  0.00131  0.50   93244     122   93183  4411642  47.31
1956-1959       27      0.00134  0.00134  0.50   93121     125   93059  4318459  46.37
1956-1959       28      0.00126  0.00126  0.50   92997     117   92938  4225400  45.44
1956-1959       29      0.00137  0.00137  0.50   92880     127   92816  4132462  44.49
1956-1959       30      0.00143  0.00143  0.50   92753     132   92687  4039645  43.55
1956-1959       31      0.00143  0.00142  0.50   92620     132   92554  3946959  42.61
1956-1959       32      0.00158  0.00158  0.50   92489     146   92416  3854404  41.67
1956-1959       33      0.00157  0.00157  0.50   92343     145   92270  3761989  40.74
1956-1959       34      0.00176  0.00176  0.50   92198     162   92116  3669718  39.80
1956-1959       35      0.00181  0.00181  0.50   92035     166   91952  3577602  38.87
1956-1959       36      0.00200  0.00200  0.50   91869     183   91777  3485650  37.94
1956-1959       37      0.00206  0.00206  0.50   91685     188   91591  3393873  37.02
